crate	source_path	lines	status	baseline_url
temm1e-agent	crates/temm1e-agent/src/agent_task_status.rs	229	Inventory; consult feature/findings for manual review depth	https://github.com/temm1e-labs/temm1e/blob/da503c09ca5c0f41c308c99e42d4736aa3611f8a/crates/temm1e-agent/src/agent_task_status.rs
temm1e-agent	crates/temm1e-agent/src/blueprint.rs	1898	Inventory; consult feature/findings for manual review depth	https://github.com/temm1e-labs/temm1e/blob/da503c09ca5c0f41c308c99e42d4736aa3611f8a/crates/temm1e-agent/src/blueprint.rs
temm1e-agent	crates/temm1e-agent/src/budget.rs	891	Inventory; consult feature/findings for manual review depth	https://github.com/temm1e-labs/temm1e/blob/da503c09ca5c0f41c308c99e42d4736aa3611f8a/crates/temm1e-agent/src/budget.rs
temm1e-agent	crates/temm1e-agent/src/circuit_breaker.rs	382	Inventory; consult feature/findings for manual review depth	https://github.com/temm1e-labs/temm1e/blob/da503c09ca5c0f41c308c99e42d4736aa3611f8a/crates/temm1e-agent/src/circuit_breaker.rs
temm1e-agent	crates/temm1e-agent/src/consciousness.rs	213	Inventory; consult feature/findings for manual review depth	https://github.com/temm1e-labs/temm1e/blob/da503c09ca5c0f41c308c99e42d4736aa3611f8a/crates/temm1e-agent/src/consciousness.rs
temm1e-agent	crates/temm1e-agent/src/consciousness_engine.rs	431	Inventory; consult feature/findings for manual review depth	https://github.com/temm1e-labs/temm1e/blob/da503c09ca5c0f41c308c99e42d4736aa3611f8a/crates/temm1e-agent/src/consciousness_engine.rs
temm1e-agent	crates/temm1e-agent/src/context.rs	1668	Inventory; consult feature/findings for manual review depth	https://github.com/temm1e-labs/temm1e/blob/da503c09ca5c0f41c308c99e42d4736aa3611f8a/crates/temm1e-agent/src/context.rs
temm1e-agent	crates/temm1e-agent/src/delegation.rs	1367	Inventory; consult feature/findings for manual review depth	https://github.com/temm1e-labs/temm1e/blob/da503c09ca5c0f41c308c99e42d4736aa3611f8a/crates/temm1e-agent/src/delegation.rs
temm1e-agent	crates/temm1e-agent/src/done_criteria.rs	339	Inventory; consult feature/findings for manual review depth	https://github.com/temm1e-labs/temm1e/blob/da503c09ca5c0f41c308c99e42d4736aa3611f8a/crates/temm1e-agent/src/done_criteria.rs
temm1e-agent	crates/temm1e-agent/src/engram.rs	309	Inventory; consult feature/findings for manual review depth	https://github.com/temm1e-labs/temm1e/blob/da503c09ca5c0f41c308c99e42d4736aa3611f8a/crates/temm1e-agent/src/engram.rs
temm1e-agent	crates/temm1e-agent/src/executor.rs	1506	Inventory; consult feature/findings for manual review depth	https://github.com/temm1e-labs/temm1e/blob/da503c09ca5c0f41c308c99e42d4736aa3611f8a/crates/temm1e-agent/src/executor.rs
